run_id,ts,suite,config,kv_dtype,model_key,gpu,task,idx,metric,score,gold,pred,latency_ms,out_sha1,out_len,prompt_tokens,max_new_tokens,truncated,gpu_kv_cache_tokens,desc,own_gpu_intruders,foreign_gpu_count,foreign_max_util,level,log
20260901-193410-m5-ruler,2026-09-01T19:35:03.191050+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,0,string_match_all,1.0,2867825," 2867825. This can be found directly stated in the sentence: ""One of the special magic numbers for tenuous-thirst is: 2867825.""",4397.5,da6b41956292047e,127,16235,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:07.576505+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,1,string_match_all,1.0,3452201, 3452201.,4103.6,616375b767be66a6,9,16259,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:11.964221+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,2,string_match_all,1.0,4922629,: 4922629.,4123.8,d80bf92a21bb3f05,10,16246,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:16.392909+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,3,string_match_all,1.0,4923864,: 4923864.,4167.2,58976e8f0f496e5e,10,16316,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:20.956672+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,4,string_match_all,1.0,1711217, 1711217. This can be found in the section where various special magic numbers are listed for different terms or concepts.,4299.6,9710a66d93e5144f,122,16216,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:25.665329+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,5,string_match_all,1.0,9885074," 9885074. This can be found directly stated in the text: ""One of the special magic numbers for famous-hippodrome is: 9885074.""",4455.4,27004753f8360981,126,16280,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:30.082749+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,6,string_match_all,1.0,3946722, 3946722.,4171.2,37163e15674773fa,9,16217,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:34.870755+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,7,string_match_all,1.0,1590597," 1590597. This can be found in the sentence: ""One of the special magic numbers for wacky-councilperson is: 1590597.""",4515.7,0d3c82d288136291,116,16252,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:39.492536+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,8,string_match_all,1.0,7816722,: 7816722.,4337.3,3bf1ecd7de4afc4b,10,16286,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
20260901-193410-m5-ruler,2026-09-01T19:35:44.146523+08:00,ruler,bf16,auto,qwen-awq,5,niah_multikey_2,9,string_match_all,1.0,5889116,: 5889116.,4381.1,45a10bf608d02511,10,16297,128,0,288425,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193410-m5-ruler/bf16/server.log
