run_id,ts,suite,config,kv_dtype,model_key,gpu,task,idx,metric,score,gold,pred,latency_ms,out_sha1,out_len,prompt_tokens,max_new_tokens,truncated,gpu_kv_cache_tokens,desc,own_gpu_intruders,foreign_gpu_count,foreign_max_util,level,log
20260901-193344-m5-longbench,2026-09-01T19:34:31.180886+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,0,qa_f1,0.75,South West Ultras fan club.,South West Ultras,454.2,9e09b8e5be169ff1,17,1738,64,0,288576,無損基準,0,3,22,LIGHT,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:34.188540+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,1,qa_f1,0.333333,"No, it is not necessary.",No.,2749.5,b8b9f1367ad62698,3,11454,64,0,288576,無損基準,0,4,5,LIGHT,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:36.508228+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,2,qa_f1,0.8,Low temperature scanning tunneling microscopy and spectroscopy (STM/STS).,Low-temperature scanning tunneling microscopy and spectroscopy (STM/STS).,2046.4,bfca7cf55673076f,73,8348,64,0,288576,無損基準,0,4,35,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:39.782502+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,3,qa_f1,0.782609,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,A surgically implanted electronic device to treat life-threatening heartbeat irregularities.,3034.8,3ce32a52bfd7369d,92,12069,64,0,288576,無損基準,0,6,57,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:42.195634+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,4,qa_f1,0.36,The sides of the fuselage are sloped to create a conical section when the fuselage is formed.,"It is important for the sides of the fuselage to be sloped (tumbled home) because it forms the fuselage box section into a conical shape rather than a cylindrical one, which is necessary to achieve the correct shape and ensure the longerons lie flat.",2172.4,c788431a61858aad,250,7653,64,0,288576,無損基準,0,6,68,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:45.427377+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,5,qa_f1,0.242424,It tends to suppress the Kondo effect.,The proximity of superconductivity can induce pairing in quantum dots and tend to suppress the Kondo effect if the superconducting energy gap \(2\Delta\) becomes larger than the relevant Kondo temperature \(T_K\).,2970.1,667f9fc38af53e6f,213,10863,64,0,288576,無損基準,0,6,59,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:47.892078+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,6,qa_f1,0.411765,"Electricity is used for transport, heating, lighting, communications, and computation.","Electricity is used in everyday life for lighting, powering appliances, charging devices, and providing energy for various purposes such as heating, cooling, and cooking.",2192.6,53dc404c7fb13816,170,8252,64,0,288576,無損基準,0,6,99,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:48.896876+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,7,qa_f1,1.0,Vice Admiral.,Vice admiral,729.7,007a795f357cf958,12,3184,64,0,288576,無損基準,0,6,99,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:49.636647+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,8,qa_f1,0.0,They won their first game with a score of 15-3.,1-0,461.4,d52ed84c97516165,3,2025,64,0,288576,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
20260901-193344-m5-longbench,2026-09-01T19:34:53.882451+08:00,longbench,bf16,auto,qwen-awq,0,multifieldqa_en,9,qa_f1,1.0,"Vitamins K3, K4, and K5.","vitamins K3, K4, and K5",3980.7,6d1e17a44fff17b2,23,14917,64,0,288576,無損基準,0,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260901-193344-m5-longbench/bf16/server.log
